continent,location,total_deaths,date,total_deaths_per_million,stringency_index,population_density,median_age,gdp_per_capita,aged_65_older,life_expectancy,human_development_index,total_cases,stringency_index,Entity,Code,"Life expectancy at birth, total (years)","Total population (Gapminder, HYDE & UN)",log_life,log_death,log_life_curr
Africa,Libya,732.0,2020-10-20,106.53,,3.623,29.0,17881.509,4.4239999999999995,72.91,0.706,49949.0,,Libya,LBY,49.87527272727273,1235373.0,3.929377004481024,6.597145701886651,4.302848136796795
North America,Saint Lucia,,2020-10-20,,,293.187,34.9,12951.839,9.721,76.2,0.747,36.0,,Saint Lucia,LCA,60.414636363636355,74438.60784313726,4.117648184003674,,4.3463994570307305
Europe,Liechtenstein,1.0,2020-10-20,26.221,,237.012,,,,82.49,0.9159999999999999,227.0,,Liechtenstein,LIE,,14257.313725490196,,0.6931471805599453,4.424726864205909
Asia,Sri Lanka,13.0,2020-10-20,0.607,,341.955,34.1,11669.077,10.068999999999999,76.98,0.77,5625.0,,Sri Lanka,LKA,61.65390909090909,7633228.470588235,4.1376260751004,2.6390573296152584,4.356452383554451
Africa,Lesotho,42.0,2020-10-20,19.605999999999998,,73.562,22.2,2851.153,4.506,54.33,0.52,1833.0,,Lesotho,LSO,48.073,733471.0,3.8933089853840213,3.7612001156935624,4.013315256910018
Europe,Lithuania,113.0,2020-10-20,41.50899999999999,,45.135,43.5,29524.265,19.002,75.93,0.858,7726.0,,Lithuania,LTU,70.75042128603103,2472085.098039216,4.2731937262048065,4.736198448394496,4.342895917470844
Europe,Luxembourg,133.0,2020-10-20,212.468,,231.447,39.7,94277.965,14.312000000000001,82.25,0.904,10888.0,,Luxembourg,LUX,69.41242350332594,288300.7254901961,4.254369717812658,4.897839799950911,4.421848128860553
Europe,Latvia,42.0,2020-10-20,22.267,,31.212,43.9,25063.846,19.754,75.29,0.847,3494.0,,Latvia,LVA,70.14634146341463,1867954.3137254901,4.264738903163414,3.7612001156935624,4.334541868102138
Africa,Morocco,2976.0,2020-10-20,80.627,,80.08,29.6,7485.013000000001,6.769,76.68,0.667,175749.0,,Morocco,MAR,50.55827272727272,9302825.235294119,3.942712677262997,7.998671361015776,4.35259782398307
Europe,Monaco,1.0,2020-10-20,25.482,,19347.5,,,,86.75,,268.0,,Monaco,MCO,,19443.86274509804,,0.6931471805599453,4.4744918623459755
Europe,Moldova,1601.0,2020-10-20,396.88,,123.655,37.6,5189.972,10.864,71.9,0.7,67302.0,,Moldova,MDA,63.71927272727272,2423367.7843137253,4.170059035469433,7.379008127628304,4.289088639014612
Africa,Madagascar,238.0,2020-10-20,8.595,,43.951,19.6,1416.44,2.929,67.04,0.519,16810.0,,Madagascar,MDG,42.35872727272728,4289194.31372549,3.769508004134343,5.476463551931511,4.220095767527661
Asia,Maldives,37.0,2020-10-20,68.45,,1454.433,30.6,15183.616000000002,4.12,78.92,0.7170000000000001,11232.0,,Maldives,MDV,40.70754545454545,80370.90196078431,3.7306820585881444,3.6375861597263857,4.381026134340298
North America,Mexico,86338.0,2020-10-20,669.6360000000001,,66.444,29.3,17336.468999999997,6.857,75.05,0.774,854926.0,,Mexico,MEX,59.36236363636363,27296957.8627451,4.100365792118436,11.366036686925185,4.331391018705302
Europe,Macedonia,846.0,2020-10-20,406.07099999999997,,82.6,39.1,13111.214,13.26,75.8,0.757,23788.0,,Macedonia,MKD,63.57836363636363,1255417.4901960783,4.167879426457905,6.741700694652055,4.341204640153626
Africa,Mali,132.0,2020-10-20,6.518,,15.196,16.4,2014.306,2.519,59.31,0.42700000000000005,3407.0,,Mali,MLI,29.82690909090909,4582142.333333333,3.428387980333246,4.890349128221754,4.099497927462895
Europe,Malta,45.0,2020-10-20,101.916,,1454.037,42.4,36513.323,19.426,82.53,0.878,4737.0,,Malta,MLT,69.99028381374723,296664.2156862745,4.262543019983115,3.828641396489095,4.425205848767815
